Date,Team,Acquired,Relinquished,Notes,Year
2018-09-02,Texans,,Jevoni Robinson,placed on IR with undisclosed injury,2018
2018-09-02,Vikings,,Craig James (b. 1996-04-29),placed on IR with hamstring injury,2018
2018-09-02,Vikings,,Horace Richardson,placed on IR with hamstring injury,2018
2018-09-02,Vikings,,Josh Andrews,placed on IR with ankle injury,2018
2018-09-02,Vikings,,Mack Brown,placed on IR with undisclosed injury,2018
2018-09-02,Vikings,,Tray Matthews,placed on IR with undisclosed injury,2018
2018-09-03,49ers,,Jerick McKinnon,placed on IR with torn ACL in right knee,2018
2018-09-03,49ers,,Marcell Harris,placed on IR with hamstring injury / Achilles injury,2018
2018-09-03,Bengals,,Davontae Harris,placed on IR with knee injury,2018
2018-09-03,Buccaneers,,Mitch Unrein,placed on IR with concussion,2018
2018-09-03,Cardinals,,A.J. Howard,placed on IR with undisclosed injury,2018
2018-09-03,Cardinals,,Vontarrius Dora,placed on IR with undisclosed injury,2018
2018-09-03,Colts,,Tyquan Lewis,placed on IR with toe injury,2018
2018-09-03,Cowboys,,Noah Brown,placed on IR with hamstring injury,2018
2018-09-03,Jets,,Elijah McGuire,placed on IR with foot injury,2018
2018-09-03,Packers,,Jake Kumerow,placed on IR with shoulder injury,2018
2018-09-03,Seahawks,,J.D. McKissic,placed on IR with foot injury,2018
2018-09-03,Steelers,,Olasunkanmi Adeniyi / Ola Adeniyi,placed on IR with hamstring injury,2018
2018-09-03,Texans,,Jermaine Kelly,placed on IR with undisclosed injury,2018
2018-09-03,Buccaneers,Jake Lampman,,activated from IR,2018
2018-09-03,Saints,Sharrod Neasman,,activated from IR,2018
2018-09-04,Eagles,,Richard Rodgers (Christopher),placed on IR with knee injury,2018
2018-09-04,Panthers,,Kiante Anderson,placed on practice squad IR with undisclosed injury,2018
2018-09-04,Redskins,,Anthony Lanier II,placed on IR with hip flexor injury,2018
2018-09-04,Colts,Jared Machorro,,activated from IR,2018
2018-09-04,Rams,Ryan Davis,,activated from IR,2018
2018-09-05,Redskins,,Byron Marshall,placed on IR with knee injury,2018
2018-09-05,Vikings,,Jack Tocho,placed on practice squad IR with undisclosed injury,2018
2018-09-05,Colts,Tyreek Burwell,,activated from IR,2018
2018-09-05,Rams,Afolabi Laguda,,activated from IR,2018
2018-09-05,Ravens,Jaelon Acklin,,activated from IR,2018
2018-09-05,Seahawks,Earl Thomas III,,activated from did not report list,2018
2018-09-05,Seahawks,,Earl Thomas III,placed on the reserve/exempt list,2018
2018-09-06,Dolphins,,MarQueis Gray,placed on IR with Achilles injury,2018
2018-09-06,Eagles,,Mack Hollins,placed on IR with groin injury,2018
2018-09-06,Patriots,,Duke Dawson,placed on IR with hamstring injury,2018
2018-09-06,Bengals,Chris Okoye,,activated from IR,2018
2018-09-06,Bengals,Josh Shaw (James),,activated from IR,2018
2018-09-06,Colts,K.J. Brent,,activated from IR,2018
2018-09-06,Colts,T.J. Green,,activated from IR,2018
2018-09-06,Dolphins,Rashawn Scott,,activated from IR,2018
2018-09-06,Eagles,D.J. Killings,,activated from IR,2018
2018-09-06,Jaguars,Manase Hungalu,,activated from IR,2018
2018-09-06,Panthers,Jeremiah Sirles,,activated from IR,2018
2018-09-06,Patriots,Will Tye,,activated from IR,2018
2018-09-06,Ravens,Alvin Jones (b. 1994-12-02),,activated from IR,2018
2018-09-06,Ravens,Bennett Jackson,,activated from IR,2018
2018-09-06,Saints,Shane Vereen,,activated from IR,2018
2018-09-07,Cowboys,,Parker Ehinger,placed on IR with knee injury,2018
2018-09-07,49ers,Malcolm Johnson (Jamaine),,activated from IR,2018
2018-09-07,Broncos,Andreas Knappe,,activated from IR,2018
2018-09-07,Cardinals,A.J. Howard,,activated from IR,2018
2018-09-07,Cardinals,Vontarrius Dora,,activated from IR,2018
2018-09-07,Cowboys,Trey Williams,,activated from IR,2018
2018-09-07,Giants,Darian Thompson,,activated from IR,2018
2018-09-07,Jaguars,Tevaun Smith,,activated from IR,2018
2018-09-07,Rams,Travin Howard,,activated from IR,2018
2018-09-07,Seahawks,Austin Davis (a),,activated from IR,2018
2018-09-07,Seahawks,Byron Maxwell,,activated from IR,2018
2018-09-07,Seahawks,Erik Walden,,activated from IR,2018
2018-09-07,Steelers,Damoun Patterson,,activated from IR,2018
2018-09-07,Vikings,Craig James (b. 1996-04-29),,activated from IR,2018
2018-09-07,Vikings,Josh Andrews,,activated from IR,2018
2018-09-07,Vikings,Mack Brown,,activated from IR,2018
2018-09-08,49ers,,Dekoda Watson,placed on IR with hamstring injury,2018
2018-09-08,Buccaneers,,De'Vante Harris / DeVante Harris,placed on IR with hamstring injury,2018
2018-09-08,Falcons,,Keanu Neal,placed on IR with torn ACL in left knee,2018
2018-09-08,Rams,Aaron Donald,,activated from reserve/exempt list,2018
2018-09-08,Seahawks,,Dontae Johnson,placed on IR with groin injury,2018
2018-09-08,Seahawks,Earl Thomas III,,activated from the reserve/exempt list,2018
2018-09-08,Broncos,Menelik Watson,,activated from IR,2018
2018-09-08,Colts,Krishawn Hogan,,activated from IR,2018
2018-09-08,Jaguars,Ben Koyack,,activated from IR,2018
2018-09-08,Jaguars,Kenneth Acker,,activated from IR,2018
2018-09-08,Redskins,Anthony Lanier II,,activated from IR,2018
2018-09-08,Steelers,Marcus Tucker,,activated from IR,2018
2018-09-08,Texans,Ben Heeney,,activated from IR,2018
2018-09-10,Patriots,,Jeremy Hill,placed on IR with torn ACL in right knee,2018
2018-09-10,Titans,,Delanie Walker,placed on IR with fractured right ankle,2018
2018-09-10,Vikings,,Aviante Collins,placed on IR with elbow injury,2018
2018-09-10,Colts,Jeremiah George,,activated from IR,2018
2018-09-10,Eagles,Gannon Sinclair,,activated from IR,2018
2018-09-10,Packers,Devante Mays,,activated from IR,2018
2018-09-10,Packers,Quinten Rollins,,activated from IR,2018
2018-09-10,Chiefs,,Demetrius Harris,placed on reserve/exempt list,2018
2018-09-10,Jaguars,,Dante Fowler Jr.,placed on reserve/exempt list,2018
2018-09-10,Steelers,,Eli Rogers,placed on reserve/ physically unable to perform list with knee injury,2018
2018-09-11,Chiefs,Demetrius Harris,,activated from reserve/exempt list,2018
2018-09-11,Colts,,J'Marcus Webb,placed on IR with hamstring injury,2018
2018-09-11,Falcons,,Deion Jones,placed on IR with foot injury,2018
2018-09-11,Jaguars,Dante Fowler Jr.,,activated from reserve/exempt list,2018
2018-09-11,Packers,,Trevor Davis,placed on IR with hamstring injury,2018
2018-09-11,Redskins,,Cam Sims,placed on IR with ankle injury,2018
2018-09-11,Texans,,Kevin Johnson (b. 1992-08-05),placed on IR with concussion,2018
2018-09-11,Broncos,J.J. Dielman,,activated from IR,2018
2018-09-11,Browns,C.J. Board,,activated from IR,2018
2018-09-11,Browns,Justin Currie,,activated from IR,2018
2018-09-11,Buccaneers,De'Vante Harris / DeVante Harris,,activated from IR,2018
2018-09-11,Buccaneers,Devante Bond,,activated from IR,2018
2018-09-11,Buccaneers,Riley Bullough,,activated from IR,2018
2018-09-11,Colts,Anthony Johnson (b. 1993-01-24),,activated from IR,2018
2018-09-11,Colts,Chris McCain,,activated from IR,2018
2018-09-11,Colts,Matt Hazel (a),,activated from IR,2018
2018-09-11,Jets,,Kevin Pierre-Louis,placed on reserve/exempt list,2018
2018-09-12,49ers,,Brock Coyle,placed on IR with concussion,2018
2018-09-12,Buccaneers,,Vernon Hargreaves III,placed on IR with shoulder injury,2018
2018-09-12,Jets,Kevin Pierre-Louis,,activated from reserve/exempt list,2018
2018-09-12,Panthers,,Daryl Williams,placed on IR with right knee injury,2018
2018-09-12,Raiders,,Andrew DePaola,placed on IR with torn ACL in knee,2018
2018-09-12,Rams,,Pharoh Cooper,placed on IR with ankle injury,2018
2018-09-12,Ravens,,Kenneth Dixon,placed on IR with knee injury,2018
2018-09-12,Redskins,,Trey Quinn,placed on IR with ankle injury,2018
2018-09-12,Texans,,Seantrel Henderson,placed on IR with fractured left ankle,2018
2018-09-12,49ers,Aaron Burbridge,,activated from IR,2018
2018-09-12,Bengals,Matt Barkley,,activated from IR,2018
2018-09-12,Chiefs,Keith Reaser,,activated from IR,2018
2018-09-12,Lions,Zach Zenner,,activated from IR,2018
